State,Year,Total Banks,Avg ROA,Avg Capital Ratio,Total Assets,Avg Uninsured Deposit Pct
AK,2018,5,1.1199874297855792,21.49577295101753,25770171,29.69382226052748
AK,2019,5,1.1396486071464034,21.68045812323107,26717125,29.636196785919843
AK,2020,5,1.0766559861046523,14.247998865951734,31850524,31.961806146492357
AK,2021,5,1.2807920486443412,14.534423316589715,38740201,37.03418219146677
AK,2022,6,0.3817411290478812,38.04108243683719,39815215,37.98891100867691
AK,2023,6,-0.30990157909092586,12.319212136092068,40763607,33.71051030425138
AK,2024,5,1.0868185492317548,14.549373479539573,40315085,33.73471921957703
AK,2025,5,1.365742539206722,14.647686403913998,41185081,32.48852732431274
AL,2018,120,0.970837626851958,22.304589271499538,1065629531,21.865454679942484
AL,2019,118,0.9469634984025187,21.745825274151468,1048868619,22.160732691846828
AL,2020,110,0.8330990363271965,9.823877793549116,1160646650,23.791385371092716
AL,2021,107,1.0319670217974288,8.669388496311354,1137839055,26.394468111486628
AL,2022,99,0.9358427774118353,8.28223499860307,874891983,28.375362704744642
AL,2023,97,1.0793058542060283,8.154973350814663,859986125,28.13661411443555
AL,2024,96,0.8415948745573989,8.184290105827106,883560988,29.176439130950968
AL,2025,96,0.9708543745727954,7.067386457572771,908607515,30.100065246638668
AR,2018,96,1.0972751537881955,18.624471377155267,422982359,20.33911934746492
AR,2019,93,1.1359350499042375,18.473584699702723,445238061,20.78580463238197
AR,2020,87,1.1621451217237162,8.923411603192907,514685600,23.00018864446997
AR,2021,86,1.4622778835413,9.060988623152545,566559733,25.681857985260365
AR,2022,84,1.2109914933156947,8.770082459743078,614667695,27.245726160808896
AR,2023,82,1.2427677321313368,8.203203737149753,658463672,25.950751226080545
AR,2024,81,1.0912464356555163,8.580252953942766,690435948,26.261577670537243
AR,2025,78,1.1887695404152467,8.090281699664473,712137532,26.221833750773477
AZ,2018,15,0.6399687586551326,17.831627932249656,104138609,29.100122746066972
AZ,2019,15,1.1043916430410878,17.791296412808723,120196679,30.319790892510813
AZ,2020,13,1.2921621979077889,10.466673693240999,149907661,35.81262033388774
AZ,2021,13,1.3266875916376029,11.56811953307273,225083002,39.38388566245437
AZ,2022,17,-1.7590459176724058,11.186261275154491,286442054,43.35233341063757
AZ,2023,16,-3.278300459648743,19.796879343121518,296262556,37.679668372817346
AZ,2024,15,-1.3007774146594946,20.396105055466936,665391350,33.72543756408614
AZ,2025,15,0.4275893804700442,11.587893045777212,798758586,33.23242391909638
CA,2018,175,1.3027899187536347,38.08089061946464,3193559514,54.19228131653727
CA,2019,160,1.3904270305785327,32.63275159375735,3434640198,50.241488489223585
CA,2020,154,1.1241257009971046,19.503903160074753,3944128507,41.27422481657462
CA,2021,151,1.464172374528493,20.97984596500224,4717976901,44.31349574133491
CA,2022,139,1.3444361394958835,22.84972373784212,4826254713,44.93815496378715
